caller,callee,timestamp,duration_seconds,tower_location
9432109876,9543210987,2024-10-13T01:44:23,232,"Hazratganj, Lucknow"
9432109876,8877665544,2026-05-25T11:06:43,386,"Camp Area, Pune"
9654321098,9876543210,2025-02-11T08:12:07,475,"Bandra West, Mumbai"
8877665544,9876543210,2024-02-21T10:15:08,588,"Koramangala, Bengaluru"
9123456789,9210987654,2024-07-31T18:13:52,248,"Park Street, Kolkata"
9988776655,9876543210,2024-10-10T04:08:34,266,"Connaught Place, Delhi"
9123456789,9876543210,2024-05-14T00:22:50,253,"Ellis Bridge, Ahmedabad"
9654321098,9876543210,2024-06-27T08:03:08,441,"Camp Area, Pune"
9123456789,9988776655,2025-05-02T14:49:23,535,"Ellis Bridge, Ahmedabad"
9123456789,9321098765,2025-05-30T07:39:02,543,"Sector 17, Chandigarh"
9432109876,9876543210,2024-03-03T15:54:25,446,"Bandra West, Mumbai"
9432109876,9321098765,2024-03-16T02:20:38,161,"Bandra West, Mumbai"
9988776655,9654321098,2025-10-01T20:37:35,342,"T. Nagar, Chennai"
9210987654,9321098765,2024-10-28T14:32:38,450,"Bandra West, Mumbai"
9123456789,9210987654,2026-01-08T06:27:28,243,"T. Nagar, Chennai"
9654321098,9321098765,2025-02-12T13:46:06,330,"T. Nagar, Chennai"
9654321098,7766554433,2025-01-18T04:43:59,495,"Bandra West, Mumbai"
9123456789,9988776655,2024-04-05T13:06:47,391,"Connaught Place, Delhi"
9321098765,9876543210,2025-08-23T17:35:21,135,"T. Nagar, Chennai"
9654321098,9432109876,2026-06-07T23:03:18,329,"Park Street, Kolkata"
9123456789,9210987654,2024-08-05T04:42:30,239,"Bandra West, Mumbai"
9654321098,9210987654,2025-01-11T03:48:17,597,"Koramangala, Bengaluru"
9543210987,9210987654,2026-02-24T19:39:43,580,"Lajpat Nagar, Delhi"
9210987654,7766554433,2024-01-30T05:17:44,326,"Park Street, Kolkata"
9654321098,9876543210,2024-07-04T04:36:42,420,"Bandra West, Mumbai"
9988776655,9876543210,2024-04-03T23:33:13,395,"T. Nagar, Chennai"
9432109876,9654321098,2024-06-10T11:19:46,342,"Ellis Bridge, Ahmedabad"
9210987654,9123456789,2026-06-23T01:09:10,60,"Bandra West, Mumbai"
7766554433,9321098765,2025-11-08T13:31:38,462,"T. Nagar, Chennai"
7766554433,8877665544,2026-02-12T16:07:22,450,"Bandra West, Mumbai"
7766554433,9321098765,2025-06-23T21:19:02,235,"T. Nagar, Chennai"
9210987654,9876543210,2024-01-08T06:19:13,150,"Sector 17, Chandigarh"
7766554433,9543210987,2024-05-02T00:31:47,450,"Connaught Place, Delhi"
9988776655,9432109876,2025-06-29T22:14:32,582,"Park Street, Kolkata"
9123456789,9432109876,2026-06-01T23:02:27,29,"Hazratganj, Lucknow"
9123456789,9543210987,2025-08-12T13:36:25,437,"Sector 17, Chandigarh"
9123456789,9432109876,2024-01-22T10:10:51,481,"Park Street, Kolkata"
9123456789,9432109876,2026-05-14T03:15:27,420,"Camp Area, Pune"
9123456789,9432109876,2026-06-10T09:47:21,236,"Park Street, Kolkata"
9988776655,9123456789,2025-06-06T20:07:33,532,"Koramangala, Bengaluru"
9654321098,9543210987,2026-01-14T20:52:09,251,"Bandra West, Mumbai"
9988776655,9654321098,2024-07-21T05:38:09,87,"Connaught Place, Delhi"
9432109876,9321098765,2026-02-11T18:48:37,469,"Ellis Bridge, Ahmedabad"
9210987654,9654321098,2026-06-03T20:20:09,460,"Bandra West, Mumbai"
9432109876,9321098765,2025-10-08T09:50:17,67,"Park Street, Kolkata"
9321098765,9123456789,2024-11-13T14:28:02,68,"Park Street, Kolkata"
7766554433,9123456789,2025-10-22T02:39:38,529,"T. Nagar, Chennai"
9432109876,9210987654,2026-03-21T23:57:02,470,"Ellis Bridge, Ahmedabad"
8877665544,9543210987,2025-09-11T15:32:09,73,"Hazratganj, Lucknow"
9123456789,9543210987,2026-01-01T02:32:41,186,"Lajpat Nagar, Delhi"
8877665544,9321098765,2025-03-25T16:33:39,172,"Park Street, Kolkata"
9654321098,7766554433,2025-01-31T13:49:21,63,"Park Street, Kolkata"
9123456789,9543210987,2024-04-06T17:43:24,300,"Sector 17, Chandigarh"
9210987654,9988776655,2024-12-07T02:37:42,154,"Park Street, Kolkata"
7766554433,9432109876,2024-05-12T19:45:05,327,"Camp Area, Pune"
9543210987,9654321098,2026-04-12T04:42:44,549,"Bandra West, Mumbai"
9543210987,9210987654,2025-01-05T00:23:19,194,"Koramangala, Bengaluru"
9654321098,9321098765,2024-07-15T07:08:09,89,"Sector 17, Chandigarh"
9123456789,9210987654,2026-02-28T17:53:47,549,"Lajpat Nagar, Delhi"
9654321098,9988776655,2025-09-03T12:09:10,195,"Ellis Bridge, Ahmedabad"
9988776655,9321098765,2024-02-14T13:23:43,253,"Hazratganj, Lucknow"
9210987654,7766554433,2026-02-09T23:50:28,249,"Camp Area, Pune"
8877665544,9654321098,2026-04-08T15:57:53,208,"Park Street, Kolkata"
9210987654,9432109876,2025-04-17T09:49:24,524,"Camp Area, Pune"
9543210987,9988776655,2026-04-16T06:51:38,151,"Sector 17, Chandigarh"
9876543210,9321098765,2026-06-14T11:35:59,115,"Camp Area, Pune"
9123456789,9654321098,2024-03-26T05:17:28,535,"Connaught Place, Delhi"
9543210987,9123456789,2026-07-21T07:52:28,367,"Lajpat Nagar, Delhi"
9543210987,9876543210,2025-02-09T16:23:15,405,"Bandra West, Mumbai"
9654321098,8877665544,2024-01-29T10:59:06,353,"Connaught Place, Delhi"
9988776655,9876543210,2024-10-20T15:44:53,152,"Hazratganj, Lucknow"
9432109876,9876543210,2026-07-16T02:01:16,230,"Connaught Place, Delhi"
9321098765,9210987654,2025-03-09T03:49:18,253,"Sector 17, Chandigarh"
9123456789,9876543210,2024-09-01T13:40:50,478,"Bandra West, Mumbai"
9123456789,9321098765,2025-09-03T17:01:40,537,"Ellis Bridge, Ahmedabad"
8877665544,9988776655,2024-10-25T13:00:39,371,"Koramangala, Bengaluru"
9210987654,9543210987,2024-07-10T21:42:05,546,"Park Street, Kolkata"
9123456789,9210987654,2025-07-11T16:50:32,577,"Lajpat Nagar, Delhi"
9543210987,9321098765,2024-02-14T20:24:23,269,"Lajpat Nagar, Delhi"
9654321098,9123456789,2024-12-19T07:46:42,116,"Ellis Bridge, Ahmedabad"
9654321098,9988776655,2024-02-15T11:34:21,189,"Hazratganj, Lucknow"
9432109876,9988776655,2026-04-10T04:04:45,478,"Lajpat Nagar, Delhi"
7766554433,8877665544,2024-02-14T06:56:02,333,"Sector 17, Chandigarh"
9876543210,9123456789,2026-06-15T09:00:00,120,"Bandra West, Mumbai"
9876543210,9123456789,2026-06-15T09:15:00,120,"Bandra West, Mumbai"
9876543210,9123456789,2026-06-15T09:30:00,120,"Bandra West, Mumbai"
9876543210,9123456789,2026-06-15T09:45:00,120,"Bandra West, Mumbai"
9876543210,9123456789,2026-06-15T10:00:00,120,"Bandra West, Mumbai"
9876543210,9123456789,2026-06-15T10:15:00,120,"Bandra West, Mumbai"
